label,phase,packet_bytes,tap,kind,cycles,xfer_cycles,stall_cycles,starved_cycles,idle_cycles,accept_rate,service_period_cycles,beats_per_cycle,bytes_per_cycle,stall_frac,starve_frac,dominant_state
shared-80mhz-probed,b2b-64,64,decrypt/poly1305.to_compute,handshake,367,28,0,199,140,1.0,1.0,0.07629427792915532,,0.0,0.5422343324250681,
shared-80mhz-probed,b2b-64,64,decrypt/prep.axis_in,handshake,367,16,306,0,45,0.049689440993788817,20.125,0.043596730245231606,0.6975476839237057,0.8337874659400545,0.0,
shared-80mhz-probed,b2b-64,64,decrypt/prep.axis_out,handshake,367,28,299,0,40,0.0856269113149847,11.678571428571429,0.07629427792915532,1.220708446866485,0.8147138964577657,0.0,
shared-80mhz-probed,b2b-64,64,decrypt/prep.fsm,state,367,,,,,,,,,,,AAD_STATE
shared-80mhz-probed,b2b-64,64,decrypt/strip.axis_in,handshake,367,20,306,41,0,0.06134969325153374,16.3,0.05449591280653951,0.8719346049046321,0.8337874659400545,0.11171662125340599,
shared-80mhz-probed,b2b-64,64,decrypt/strip.axis_out,handshake,367,16,306,0,45,0.049689440993788817,20.125,0.043596730245231606,0.6975476839237057,0.8337874659400545,0.0,
shared-80mhz-probed,b2b-64,64,decrypt/strip.tag_out,handshake,367,4,0,303,60,1.0,1.0,0.010899182561307902,,0.0,0.8256130790190735,
shared-80mhz-probed,b2b-64,64,decrypt/verify.auth_tag,handshake,367,4,0,303,60,1.0,1.0,0.010899182561307902,,0.0,0.8256130790190735,
shared-80mhz-probed,b2b-64,64,decrypt/verify.calc_tag,handshake,367,4,0,48,315,1.0,1.0,0.010899182561307902,,0.0,0.1307901907356948,
shared-80mhz-probed,b2b-64,64,decrypt/verify.fsm,state,367,,,,,,,,,,,TAKE_AUTH_TAG
shared-80mhz-probed,b2b-64,64,decrypt/verify.tags_match,handshake,367,4,0,198,165,1.0,1.0,0.010899182561307902,,0.0,0.5395095367847411,
shared-80mhz-probed,b2b-64,64,decrypt/wtv.axis_in,handshake,367,16,0,351,0,1.0,1.0,0.043596730245231606,0.6975476839237057,0.0,0.9564032697547684,
shared-80mhz-probed,b2b-64,64,decrypt/wtv.axis_out,handshake,367,16,0,351,0,1.0,1.0,0.043596730245231606,0.6975476839237057,0.0,0.9564032697547684,
shared-80mhz-probed,b2b-64,64,decrypt/wtv.fsm,state,367,,,,,,,,,,,WAIT_TO_VERIFY_BIT
shared-80mhz-probed,b2b-64,64,decrypt/wtv.verify_bit,handshake,367,4,0,198,165,1.0,1.0,0.010899182561307902,,0.0,0.5395095367847411,
shared-80mhz-probed,b2b-64,64,encrypt/append.axis_in,handshake,367,16,0,295,56,1.0,1.0,0.043596730245231606,0.6975476839237057,0.0,0.8038147138964578,
shared-80mhz-probed,b2b-64,64,encrypt/append.axis_out,handshake,367,20,0,347,0,1.0,1.0,0.05449591280653951,0.8719346049046321,0.0,0.9455040871934605,
shared-80mhz-probed,b2b-64,64,encrypt/append.fsm,state,367,,,,,,,,,,,CIPHERTEXT
shared-80mhz-probed,b2b-64,64,encrypt/append.tag_in,handshake,367,4,0,52,311,1.0,1.0,0.010899182561307902,,0.0,0.14168937329700274,
shared-80mhz-probed,b2b-64,64,encrypt/chacha20.axis_in,handshake,367,16,7,2,342,0.6956521739130435,1.4375,0.043596730245231606,0.6975476839237057,0.01907356948228883,0.005449591280653951,
shared-80mhz-probed,b2b-64,64,encrypt/chacha20.axis_out,handshake,367,16,112,0,239,0.125,8.0,0.043596730245231606,0.6975476839237057,0.30517711171662126,0.0,
shared-80mhz-probed,b2b-64,64,encrypt/chacha20.from_pipeline,handshake,367,8,140,171,48,0.05405405405405406,18.5,0.021798365122615803,,0.3814713896457766,0.4659400544959128,
shared-80mhz-probed,b2b-64,64,encrypt/chacha20.in_state,state,367,,,,,,,,,,,POLY_KEY
shared-80mhz-probed,b2b-64,64,encrypt/chacha20.key_out,handshake,367,4,140,166,57,0.027777777777777776,36.0,0.010899182561307902,,0.3814713896457766,0.45231607629427795,
shared-80mhz-probed,b2b-64,64,encrypt/chacha20.out_state,state,367,,,,,,,,,,,POLY_KEY
shared-80mhz-probed,b2b-64,64,encrypt/chacha20.to_pipeline,handshake,367,8,3,175,181,0.7272727272727273,1.375,0.021798365122615803,,0.008174386920980926,0.4768392370572207,
shared-80mhz-probed,b2b-64,64,encrypt/poly1305.data_in,handshake,367,28,120,21,198,0.1891891891891892,5.285714285714286,0.07629427792915532,1.220708446866485,0.32697547683923706,0.05722070844686648,
shared-80mhz-probed,b2b-64,64,encrypt/poly1305.from_compute,handshake,367,28,0,339,0,1.0,1.0,0.07629427792915532,,0.0,0.9237057220708447,
shared-80mhz-probed,b2b-64,64,encrypt/poly1305.fsm,state,367,,,,,,,,,,,IDLE
shared-80mhz-probed,b2b-64,64,encrypt/poly1305.key_in,handshake,367,4,140,166,57,0.027777777777777776,36.0,0.010899182561307902,,0.3814713896457766,0.45231607629427795,
shared-80mhz-probed,b2b-64,64,encrypt/poly1305.tag_out,handshake,367,4,0,52,311,1.0,1.0,0.010899182561307902,,0.0,0.14168937329700274,
shared-80mhz-probed,b2b-64,64,encrypt/poly1305.to_compute,handshake,367,28,0,199,140,1.0,1.0,0.07629427792915532,,0.0,0.5422343324250681,
shared-80mhz-probed,b2b-64,64,encrypt/prep.axis_in,handshake,367,16,112,0,239,0.125,8.0,0.043596730245231606,0.6975476839237057,0.30517711171662126,0.0,
shared-80mhz-probed,b2b-64,64,encrypt/prep.axis_out,handshake,367,28,120,21,198,0.1891891891891892,5.285714285714286,0.07629427792915532,1.220708446866485,0.32697547683923706,0.05722070844686648,
shared-80mhz-probed,b2b-64,64,encrypt/prep.fsm,state,367,,,,,,,,,,,IDLE
shared-80mhz-probed,b2b-64,64,shared/pipe.arb,arb,367,,,,,,,,,,,
shared-80mhz-probed,b2b-64,64,shared/pipe.dec_in,handshake,367,8,8,176,175,0.5,2.0,0.021798365122615803,,0.021798365122615803,0.47956403269754766,
shared-80mhz-probed,b2b-64,64,shared/pipe.dec_out,handshake,367,8,0,355,4,1.0,1.0,0.021798365122615803,,0.0,0.9673024523160763,
shared-80mhz-probed,b2b-64,64,shared/pipe.enc_in,handshake,367,8,3,175,181,0.7272727272727273,1.375,0.021798365122615803,,0.008174386920980926,0.4768392370572207,
shared-80mhz-probed,b2b-64,64,shared/pipe.enc_out,handshake,367,8,140,171,48,0.05405405405405406,18.5,0.021798365122615803,,0.3814713896457766,0.4659400544959128,
shared-80mhz-probed,b2b-256,256,decrypt/chacha20.axis_in,handshake,882,64,7,772,39,0.9014084507042254,1.109375,0.07256235827664399,1.1609977324263039,0.007936507936507936,0.8752834467120182,
shared-80mhz-probed,b2b-256,256,decrypt/chacha20.axis_out,handshake,882,64,0,818,0,1.0,1.0,0.07256235827664399,1.1609977324263039,0.0,0.927437641723356,
