label,phase,packet_bytes,direction,block,cycles,beats,bytes_per_cycle,ceiling_bytes_per_cycle,service_period_cycles,accept_rate,in_stall_frac,in_starve_frac,out_stall_frac,dominant_state
shared-80mhz-probed,b2b-64,64,encrypt,prep_auth_data,367,16,0.6975476839237057,2.0,8.0,0.125,0.30517711171662126,0.0,0.32697547683923706,IDLE
shared-80mhz-probed,b2b-64,64,encrypt,poly1305,367,28,1.220708446866485,3.027027027027027,5.285714285714286,0.1891891891891892,0.32697547683923706,0.05722070844686648,0.0,IDLE
shared-80mhz-probed,b2b-64,64,encrypt,append_auth_tag,367,16,0.6975476839237057,16.0,1.0,1.0,0.0,0.8038147138964578,0.0,CIPHERTEXT
shared-80mhz-probed,b2b-64,64,decrypt,chacha20,367,16,0.6975476839237057,10.666666666666666,1.5,0.6666666666666666,0.021798365122615803,0.8283378746594006,0.0,PLAINTEXT
shared-80mhz-probed,b2b-64,64,decrypt,prep_auth_data,367,16,0.6975476839237057,0.7950310559006211,20.125,0.049689440993788817,0.8337874659400545,0.0,0.8147138964577657,AAD_STATE
shared-80mhz-probed,b2b-64,64,decrypt,poly1305,367,28,1.220708446866485,1.3700305810397553,11.678571428571429,0.0856269113149847,0.8147138964577657,0.0,0.0,IDLE
shared-80mhz-probed,b2b-64,64,decrypt,strip_auth_tag,367,20,0.8719346049046321,0.9815950920245399,16.3,0.06134969325153374,0.8337874659400545,0.11171662125340599,0.8337874659400545,
shared-80mhz-probed,b2b-64,64,decrypt,wait_to_verify,367,16,0.6975476839237057,16.0,1.0,1.0,0.0,0.9564032697547684,0.0,WAIT_TO_VERIFY_BIT
shared-80mhz-probed,b2b-64,64,decrypt,verify,367,4,,16.0,1.0,1.0,0.0,0.1307901907356948,0.0,TAKE_AUTH_TAG
shared-80mhz-probed,b2b-256,256,encrypt,chacha20,882,64,1.1609977324263039,14.222222222222221,1.125,0.8888888888888888,0.009070294784580499,0.0022675736961451248,0.39909297052154197,POLY_KEY
shared-80mhz-probed,b2b-256,256,encrypt,prep_auth_data,882,64,1.1609977324263039,2.4615384615384617,6.5,0.15384615384615385,0.39909297052154197,0.0,0.40816326530612246,IDLE
